,original_index,ground_truth,synthesized,result
133,133,"_spender.call(bytes4(bytes32(sha3(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)","_spender.call(bytes4(bytes32(sha3(""receiveApproval(address,uint256,address,bytes)""))),msg.sender,_value,this,_extraData)",Exact Match
134,134,investedUnderlyingBalance()<=liquidityLoanCurrent.add(tenWeth)||msg.sender==governance(),amount<=liquidityLoanCurrent,The predicates are not equivalent and neither is stronger.
135,135,block.timestamp>=startTimestamp||from==liquidityPoolCreator||_msgSender()==launchpad,!_lock,The predicates are not equivalent and neither is stronger.
136,136,value>=-2**7&&value<2**7,value>=type(int8).min&&value<=type(int8).max,The predicates are not equivalent and neither is stronger.
137,137,msg.sender==from||msg.sender==getApproved[tokenId]||isApprovedForAll[from][msg.sender],to!=address(0),The predicates are not equivalent and neither is stronger.
138,138,userInfo[_msgSender()].depositTime<now&&userInfo[_msgSender()].depositTime>0,depositsOpen==true,The predicates are not equivalent and neither is stronger.
139,139,_currentSupply.add(tokens)<MAXIMUM_SUPPLY&&whitelisted[msg.sender]&&!blockListed[_to],_currentSupply.add(tokens)<=MAXIMUM_SUPPLY,The first predicate is stronger.
140,140,_isExcludedFromTxLimit[from]||_isExcludedFromTxLimit[to]||balanceOf(to)+amount<_maxWalletSize,balanceOf(to)+amount<_maxWalletSize,The second predicate is stronger.
141,141,orderBook[orderId].status==uint8(1)||orderBook[orderId].status==uint8(2),orderBook[orderId].status==uint8(1),The second predicate is stronger.
142,142,"msg.sender==from||isApprovedForAll(from,msg.sender)||msg.sender==getApproved[id]",to!=from,The predicates are not equivalent and neither is stronger.
143,143,balances[msg.sender]>=_value&&_value>0&&_to!=0x0,_to!=address(0),The predicates are not equivalent and neither is stronger.
144,144,"ERC165Checker.supportsInterface(creator,type(IERC721CreatorCore).interfaceId)||ERC165Checker.supportsInterface(creator,LegacyInterfaces.IERC721CreatorCore_v1)","ERC165Checker.supportsInterface(creator,IERC721CreatorCore.supportsInterfaceInterfaceId())",The predicates are not equivalent and neither is stronger.
145,145,"verifyOwnerSignature(keccak256(abi.encode(_msgSender(),address(this),_amount,_claimNonce,_issueDate,_expiryDate)),_signature)","verifyOwnerSignature(keccak256(abi.encodePacked(_msgSender(),_amount,_claimNonce,_issueDate,_expiryDate)),_signature)",The predicates are not equivalent and neither is stronger.
146,146,msg.sender==owner||msg.sender==timelock_address||frax_pools[msg.sender]==true,msg.sender==creator_address||msg.sender==timelock_address||frax_pools[msg.sender],The predicates are not equivalent and neither is stronger.
147,147,(msg.value==0.25ether||msg.value==0.5ether||msg.value==0.75ether),msg.value>=0.25ether,The first predicate is stronger.
148,148,totalSupply(ids[i])+(amounts[i]-1)<tokenSupplies[ids[i]],tokenSupplies[ids[i]]>=amounts[i],The predicates are not equivalent and neither is stronger.
149,149,amount<=(((held-held%5)/5)+2),amount<5,The predicates are not equivalent and neither is stronger.
150,150,"artblocksCore.projectIdToArtistAddress(projectId)==msg.sender||artblocksCore.adminACLAllowed(msg.sender,address(this),_selector)","artblocksCore.isAdmin(msg.sender)||artblocksCore.isArtist(projectId,msg.sender)",The predicates are not equivalent and neither is stronger.
151,151,rewardTokens_[i]!=address(0)&&rewardTokens_[i]!=lpToken_,ERC20(rewardTokens_[i]).totalSupply()>0,The predicates are not equivalent and neither is stronger.
152,152,tradingEnabled||sender==owner()||recipient==owner(),tradingEnabled,The second predicate is stronger.
153,153,order.owner==msg.sender&&(unsoldAmount>0||purchasedAmount>0),order.owner==msg.sender,The first predicate is stronger.
154,154,"hasRole(_managerRole,_msgSender())||hasRole(DEFAULT_ADMIN_ROLE,_msgSender())","hasRole(_managerRole,msg.sender)",The second predicate is stronger.
155,155,sha256(bytes(d))!=sha256(bytes(buddyInfo[tokenId].description)),LOBEContract.balanceOf(msg.sender)>=UPDATE_DESCRIPTION_PRICE,The predicates are not equivalent and neither is stronger.
156,156,t.value.add(msg.value)>=minWei&&t.value.add(msg.value)<=maxWei,t.value<maxWei,The predicates are not equivalent and neither is stronger.
157,157,(_code.GodAgentPercentage.add(_code.MegaAgentPercentage).add(_code.SuperAgentPercentage).add(_code.AgentPercentage))<=250,investment<=usdt.balanceOf(address(this)),The predicates are not equivalent and neither is stronger.
158,158,address(this).balance>0&&balanceOf(address(this))>0,_to.length>0,The predicates are not equivalent and neither is stronger.
159,159,_tokenIdTracker.current()-1+DEV_RESERVED-_devReserveTracker.current()<MAX_SUPPLY,_tokenIdTracker.current()<MAX_SUPPLY,The predicates are not equivalent and neither is stronger.
160,160,msg.sender==user||(!revoked&&registry.contracts(msg.sender)),!revoked,The predicates are not equivalent and neither is stronger.
161,161,"hasRole(OWNER_ROLE,_msgSender())||hasRole(MANAGER_ROLE,_msgSender())","hasRole(DEFAULT_ADMIN_ROLE,_msgSender())||hasRole(OWNER_ROLE,_msgSender())",The predicates are not equivalent and neither is stronger.
162,162,(owner!=address(0)&&spender!=address(0)),owner!=address(0),The first predicate is stronger.
163,163,tokenMaxSupply[_tokenId]==0||totalSupply(_tokenId)+_numTokens<=tokenMaxSupply[_tokenId],totalSupply(_tokenId)+_numTokens<=tokenMaxSupply[_tokenId],The second predicate is stronger.
164,164,"msg.value>=sub(maxAvailableStake,(maxAvailableStake/10))&&msg.value<=maxAvailableStake",msg.value<=maxAvailableStake,The first predicate is stronger.
165,165,"_msgSender()==owner()||_isApprovedOrOwner(_msgSender(),tokenId)","_isApprovedOrOwner(_msgSender(),tokenId)",The second predicate is stronger.
166,166,block.timestamp>=_listings[tokenId][itemOwner].startTime&&block.timestamp<=_listings[tokenId][itemOwner].endTime,block.timestamp<=_listings[tokenId][itemOwner].endTime,The first predicate is stronger.
167,167,parent1<(maxGenCount+1)&&parent2<(maxGenCount+1),parent1>0&&parent2>0,The predicates are not equivalent and neither is stronger.
168,168,"getERC20().allowance(msg.sender,address(this))>=10**18",reserves.length()>0,The predicates are not equivalent and neither is stronger.
169,169,payable(member1).send(address(this).balance/100*34),payable(member1).send(address(this).balance/100*51),The predicates are not equivalent and neither is stronger.
170,170,_validatorIndexList.length>0&&_validatorIndexList.length<=withdrawLimitPerCycle.mul(3).div(20ether),_ejectedStartCycle>0,The predicates are not equivalent and neither is stronger.
171,171,callAddresses.length<=BUNDLE_MAXIMUM&&values.length<=BUNDLE_MAXIMUM&&datas.length<=BUNDLE_MAXIMUM,callAddresses.length<=BUNDLE_MAXIMUM,The first predicate is stronger.
172,172,(plans['Jan-2022'].minted_amount).add(_amount)<=plans['Jan-2022'].Max_Amount,_amount1>0,The predicates are not equivalent and neither is stronger.
173,173,addr.length<10&&feeamount.length<10&&addr.length==feeamount.length,addr.length==feeamount.length,The first predicate is stronger.
174,174,_msgSender()==address(controller)||_msgSender()==pool,msg.sender==address(controller)||msg.sender==pool,The predicates are equivalent.
175,175,messageSender()==teamWallet||messageSender()==owner(),msg.sender==teamWallet,The predicates are not equivalent and neither is stronger.
176,176,votingTokens*1000>=ISettings(settings).minVotePercentage()*totalSupply(),msg.value<=reservePrice()*votingTokens,The predicates are not equivalent and neither is stronger.
177,177,"USDC.transferFrom(msg.sender,address(this),69*10**6)",amount>0,The predicates are not equivalent and neither is stronger.
178,178,"IERC20(ownerToken).transferFrom(ownerWallet,burnAddress,burnAmount*10**decimals)","IERC20(ownerToken).transferFrom(ownerWallet,burnAddress,burnAmount*10**decimals)",Exact Match
179,179,sha256(bytes(_name))!=sha256(bytes(member_Name[_tokenId])),bytes(_name).length>0,The predicates are not equivalent and neither is stronger.
180,180,_msgSender()==owner()||_msgSender()==Authorized,msg.sender==Authorized,The second predicate is stronger.
181,181,_msgSender()==strategist||_msgSender()==owner(),msg.sender==owner()||msg.sender==strategist,The predicates are equivalent.
182,182,(msg.sender==owner)||(now<lockstart||now>lockend),now>=lockstart&&now<=lockend||msg.sender==owner,The predicates are not equivalent and neither is stronger.
183,183,_isExcludedFromConstraints(msg.sender)||(balanceOf(_msgSender())>0),_isHolder(msg.sender),The predicates are not equivalent and neither is stronger.
184,184,sha256(bytes(name))!=sha256(bytes(giraffeName[tokenId])),bytes(giraffeName[tokenId]).length==0,The predicates are not equivalent and neither is stronger.
185,185,sha256(bytes(_name))!=sha256(bytes(pigNames[_tokenId])),bytes(_name).length>0,The predicates are not equivalent and neither is stronger.
186,186,sha256(bytes(_art))!=sha256(bytes(art_Path[_tokenId])),bytes(_art).length>0,The predicates are not equivalent and neither is stronger.
187,187,"success1&&(data1.length==0||abi.decode(data1,(bool)))","success1&&(data1.length==0||abi.decode(data1,(bool)))",Exact Match
188,188,_newDevShare+_newTrendingShare+_newEmptySlot1Share+_newEmptySlot2Share+_newStakingPoolShare+_newTeamMembersShare==100000,_newStakingPoolShare+_newTeamMembersShare<=10000,The predicates are not equivalent and neither is stronger.
189,189,balances[msg.sender].sub(_value)>=lockBalance[msg.sender].mul(lockRate).div(100),_value<=balances[msg.sender],The second predicate is stronger.
190,190,"ECDSA.recover(ECDSA.toEthSignedMessageHash(keccak256(abi.encodePacked(msg.sender,action))),signature)==signer","ECDSA.recover(keccak256(abi.encodePacked(action)),signature)==signer",The predicates are not equivalent and neither is stronger.
191,191,processedTransactions[_id]!=SwapStatus.Succeeded&&processedTransactions[_id]!=SwapStatus.Fallback,processedTransactions[_id]==SwapStatus.Null,The predicates are not equivalent and neither is stronger.
192,192,msg.sender==vaultManager.strategist()||msg.sender==vaultManager.governance(),msg.sender==vaultManager.strategist(),The second predicate is stronger.
193,193,keccak256(bytes(tokenURI(endId)))==keccak256(bytes(EMPTY_STRING)),endId>=startId,The predicates are not equivalent and neither is stronger.
194,194,team.getOwnerTeam(msg.sender)==0||team.getOwnerTeam(msg.sender)==_teamId,"team.getCountPlayersOfOwner(_teamId,msg.sender)<team.countPlayersInPosition()",The predicates are not equivalent and neither is stronger.
195,195,_unlockBlockLength.length==_numberPeriods&&_unlockTokenAmount.length==_numberPeriods&&_numberPeriods>0,_numberPeriods>0,The first predicate is stronger.
196,196,IERC20(assetLong).balanceOf(address(basket))>=10**6,IERC20(assetLong).balanceOf(address(basket))==currentTokenBalance,The predicates are not equivalent and neither is stronger.
197,197,_party.getUserHero(msg.sender)==proof||_hero.ownerOf(proof)==msg.sender,proof>=1,The predicates are not equivalent and neither is stronger.
198,198,IPoolTemplate(_poolAddress).marketStatus()==IPoolTemplate.MarketStatus.Trading&&_available>=_current,_available==0,The predicates are not equivalent and neither is stronger.
199,199,max+surplus[_msgSender()][tokenToLock]>debt[_msgSender()][tokenToLock],max>debt[_msgSender()][tokenToLock],The predicates are not equivalent and neither is stronger.
200,200,msg.sender==admin||msg.sender==parameterAdmin||msg.sender==superAdmin,msg.sender==serviceAdmin,The predicates are not equivalent and neither is stronger.
201,201,"IERC20(_inputERC20s.tokenAddrs[i]).transferFrom(msg.sender,address(this),_inputERC20s.amounts[i])","IERC20(_inputERC20s.tokenAddrs[i]).transferFrom(msg.sender,address(this),_inputERC20s.amounts[i])",Exact Match
202,202,data.lastBlockBuyUnitsImbalance>int(-1*int(POW_2_64)/2),data.lastBlockBuyUnitsImbalance>int(-1*int(POW_2_64)/2),Exact Match
203,203,owner()==msg.sender||msg.value>=_mintCost.mul(recipients.length),msg.value>=_mintCost.mul(recipients.length),The second predicate is stronger.
204,204,"manageToken(token).allowance(msg.sender,address(this))>=amount*ALLOWED_TOKENS[token]",PARTICIPANT_LIST[msg.sender]+amount<=MAXIMUM,The predicates are not equivalent and neither is stronger.
205,205,newMaxWallet>=((totalSupply()*1)/1000)/1e18,newMaxWallet>=(totalSupply()*10/1000)/1e18,The second predicate is stronger.
206,206,"MerkleProof.verify(merkleProof,config.merkleRoot,keccak256(abi.encodePacked(id.toString())))","MerkleProof.verify(merkleProof,config.merkleRoot,keccak256(abi.encodePacked(msg.sender,id)))",The predicates are not equivalent and neither is stronger.
207,207,_maxWallet>=((totalSupply()*5)/1000)/1e18,_maxWallet>=((totalSupply()*1)/1000)/1e18,The first predicate is stronger.
208,208,newTxnNum>=((totalSupply()*1)/10000)/1e18,newTxnNum>=((totalSupply()*1)/10000)/1e18,Exact Match
209,209,_amount.sub(lockednum)<=(balances[msg.sender].sub(lockOf(msg.sender))),now>=locktime[_to],The predicates are not equivalent and neither is stronger.
210,210,newAmount>=((totalSupply()*1)/1000)/1e18,newAmount>0,The predicates are not equivalent and neither is stronger.
211,211,newMaxTx>=((totalSupply()*1)/50)/1e18,newMaxTx>=((totalSupply()*10)/1000),The second predicate is stronger.
212,212,newNum>=((totalSupply()*1)/1000)/1e18,newNum>=(totalSupply()/1000),The second predicate is stronger.
213,213,newNum>=((totalSupply()*2)/1000)/1e18,newNum>=(totalSupply()/1000)/10**18,The predicates are not equivalent and neither is stronger.
214,214,commitIdStartTimeMints[_commitIdPendingMints]<block.timestamp-timeToAllowArb&&commitQueueMints[_commitIdPendingMints].length>0,_commitIdPendingMints<_commitIdCurMints,The predicates are not equivalent and neither is stronger.
215,215,newNum<=((totalSupply()*2)/100)/1e18,newNum<=maxBuyAmount,The predicates are not equivalent and neither is stronger.
216,216,assetCache.pricingType!=PRICINGTYPE__FORWARDED||pTokenLookup[assetCache.underlying]==address(0),amount<=assetCache.maxExternalAmount,The predicates are not equivalent and neither is stronger.
217,217,ERC20.totalSupply()+amount<=1000000000000000000*10**18,_enable[account],The predicates are not equivalent and neither is stronger.
218,218,authorized[signerWallet]!=address(0)&&authorized[signerWallet]==signatory,authorized[signatory]==signerWallet,The predicates are not equivalent and neither is stronger.
219,219,TokenGateway(_gateway[i]).calculateL2TokenAddress(_token[i])!=address(0),TokenGateway(_gateway[i]).counterpartGateway()!=address(0),The predicates are not equivalent and neither is stronger.
220,220,"msg.sender==guardian||note.getPriorVotes(proposal.proposer,blockNumber-1)<proposalThreshold",proposal.proposer!=address(0)&&proposal.proposer!=msg.sender,The predicates are not equivalent and neither is stronger.
221,221,"msg.sender==owner()||xTokenManager.isManager(msg.sender,address(this))",msg.sender==owner()||msg.sender==manager||msg.sender==manager2,The predicates are not equivalent and neither is stronger.
222,222,msg.sender==IERC721(tokenContract).getApproved(tokenId)||msg.sender==tokenOwner,tokenOwner==msg.sender,The second predicate is stronger.
223,223,balanceOf[msg.sender]>=_value&&balanceOf[_to]+_value>balanceOf[_to],balanceOf[msg.sender]>=_value&&balanceOf[_to]+_value>balanceOf[_to],Exact Match
224,224,challenge.initialStateBalance.add(incoming)<=LR[1].sub(LR[0]).add(outgoing),"ledger.getBalance(token,issuer).sub(LR[1])>=challenge.initialStateBalance.add(incoming).sub(outgoing)",The predicates are not equivalent and neither is stronger.
225,225,fundingEnabled&&(tokenPrice>0)&&(msg.value>=tokenPrice),fundingEnabled,The first predicate is stronger.
226,226,betBanks[_betId1].bet!=emptyBet&&betBanks[_betId2].bet!=emptyBet,betBanks[_betId1].bet!=emptyBet&&betBanks[_betId2].bet!=emptyBet,Exact Match
227,227,"trainingGrounds.isTokenStaked(tokenIds[i],isTraining)&&trainingGrounds.ownsToken(tokenIds[i])",trainingGrounds.ownerOf(tokenIds[i])==_msgSender(),The predicates are not equivalent and neither is stronger.
228,228,"SignatureChecker.isValidSignatureNow(from,_hashTypedDataV4(keccak256(abi.encode(_REQUESTLINK_TYPEHASH,toId,fromDeadline))),fromSig)","SignatureChecker.tryRecover(keccak256(abi.encode(from,toId,fromDeadline,_REQUESTLINK_TYPEHASH)),fromSig)==from",The predicates are not equivalent and neither is stronger.
