predicate,label,results,hardness
"(trading||(sender==poxAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==poxAddr[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==spyAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==spyAddr[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"(trading||(sender==sunAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==sunAddr[1])),""ERC20: trading is not yet enabled.""",trading==true,5.779999999999999
"(trading||(sender==warAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==warAddr[1])),""ERC20: trading is not yet enabled.""",,5.779999999999999
"IERC20(_WETH).balanceOf(address(this))>=WETHAmount,""Not enough WETH""","IERC20(_WETH).balanceOf(address(this))>=WETHAmount,""Not enough WETH""",,5.779999999999999
"IERC20(_usdc).balanceOf(address(this))>=usdcAmount,""Not enough USDC""","IERC20(_usdc).balanceOf(address(this))>=usdcAmount,""Not enough USDC""",,5.779999999999999
"IERC20(coin).balanceOf(address(this))>=quantity,""INSUFISANT_BALANCE""","IERC20(coin).balanceOf(address(this))>=quantity,""INSUFISANT_BALANCE""",,5.779999999999999
_balances[contractAddress]>=4500000*10**decimals,_balances[contractAddress]>=4500000*10**decimals,,5.779999999999999
"claimRewards.getSigner()!=address(0),""The claim rewards contract has a zero address for a signer.""","claimRewards.getSigner()!=address(0),""The claim rewards contract has a zero address for a signer.""",,5.779999999999999
"daiContract.transfer(seller,SafeMath.sub(daiAmount,burnAmount)),""Token transfer to Seller failed!""","daiContract.transfer(seller,SafeMath.sub(daiAmount,burnAmount)),""Token transfer to Seller failed!""",,5.779999999999999
"isValidClaim(numPasses[i],amounts[i],mpIndexs[i],merkleProofs[i]),""One or more claims are invalid""","isValidClaim(numPasses[i],amounts[i],mpIndexs[i],merkleProofs[i]),""One or more claims are invalid""",tokens[mpIndexs[i]].saleIsOpen,5.779999999999999
"msg.sender==address(router)||pairs[msg.sender],""cant send eth to this address""","msg.sender==address(router)||pairs[msg.sender],""cant send eth to this address""",,5.779999999999999
"msg.sender==borrowerOperationsAddress||troveManager[msg.sender],""Debt: Caller not BO/TM""","msg.sender==borrowerOperationsAddress||troveManager[msg.sender],""Debt: Caller not BO/TM""",,5.779999999999999
"msg.sender==strategyDev||msg.sender==governance,""Golff:!strategyDev""","msg.sender==strategyDev||msg.sender==governance,""Golff:!strategyDev""",,5.779999999999999
msg.sender==tx.origin||approvedContracts[msg.sender]==true,msg.sender==tx.origin||approvedContracts[msg.sender]==true,,5.779999999999999
"msg.value>=cost*(quantity-1),""Not enough ether!""","msg.value>=cost*(quantity-1),""Not enough ether!""",,5.779999999999999
"msg.value>=cost*_mintAmount-realCost,""Insufficient/incorrect funds.""","msg.value>=cost*_mintAmount-realCost,""Insufficient/incorrect funds.""",,5.779999999999999
ids.length!=0&&ids.length==lvs.length,ids.length!=0&&ids.length==lvs.length,,5.7700000000000005
"userAllowance.allowance>0&&userAllowance.allowance>=userAllowance.claimAmount,""Entire allowance already claimed, or no initial allowance""","userAllowance.allowance>0&&userAllowance.allowance>=userAllowance.claimAmount,""Entire allowance already claimed, or no initial allowance""",,5.7700000000000005
(TestIssued+(dests.length*amount))<=totalSupply,(TestIssued+(dests.length*amount))<=totalSupply,,5.77
"(trading||(sender==addRaw[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==addRaw[1])),""ERC20: trading is not yet enabled.""",trading,5.77
"(trading||(sender==crAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==crAddr[1])),""ERC20: trading is not yet enabled.""",trading==true,5.77
"(trading||(sender==faAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==faAddr[1])),""ERC20: trading is not yet enabled.""",,5.77
"(trading||(sender==niAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==niAddr[1])),""ERC20: trading is not yet enabled.""",,5.77
"(trading||(sender==trAddr[1])),""ERC20: trading is not yet enabled.""","(trading||(sender==trAddr[1])),""ERC20: trading is not yet enabled.""",,5.77
"IStrategy(strategy).vault()==address(this),""strategy's vault error""","IStrategy(strategy).vault()==address(this),""strategy's vault error""",IStrategy(strategy).protocol()==address(this),5.77
"IToken(tokenAddress).transfer(msg.sender,tokenAmount),""Insufficient balance of presale contract!""","IToken(tokenAddress).transfer(msg.sender,tokenAmount),""Insufficient balance of presale contract!""",,5.77
_balances[contractAddress]>=400000*10**decimals,_balances[contractAddress]>=400000*10**decimals,,5.77
"bytes(chainAlias).length!=0,""StdChains getChain(string): Chain alias cannot be the empty string.""","bytes(chainAlias).length!=0,""StdChains getChain(string): Chain alias cannot be the empty string.""",,5.77
"msg.value==(costs[BENEFACTOR]*_amount-discount),""Invalid ETH value""","msg.value==(costs[BENEFACTOR]*_amount-discount),""Invalid ETH value""",,5.77
"msg.value>=(uint256(config.publicPriceWei)*quantity),""Need to send more ETH.""","msg.value>=(uint256(config.publicPriceWei)*quantity),""Need to send more ETH.""",,5.77
"stakedToken.transfer(highBidder,amountToSell),""StakedTokenAuctionHouse/failed-transfer""","stakedToken.transfer(highBidder,amountToSell),""StakedTokenAuctionHouse/failed-transfer""",,5.77
"vicListMintedBalance[_msgSender()]+_mintAmount<=vicMintLimit,""VIC Mint limit exceeded!""","vicListMintedBalance[_msgSender()]+_mintAmount<=vicMintLimit,""VIC Mint limit exceeded!""",,5.77
"ERC20(MAKER_DAI_ADDRESS).transferFrom(_user,address(this),_amount)","ERC20(MAKER_DAI_ADDRESS).transferFrom(_user,address(this),_amount)",,5.76
"IERC721(creator).getApproved(_burnToken)==address(this),""approval""","IERC721(creator).getApproved(_burnToken)==address(this),""approval""",,5.76
"IFNFTHandler(fnftHandler).getBalance(_msgSender(),fnftId)>0,""E032""","IFNFTHandler(fnftHandler).getBalance(_msgSender(),fnftId)>0,""E032""","IFNFTHandler(fnftHandler).getBalance(_msgSender(),fnftId)>0",5.76
_balances[contractAddress]>=50000*10**decimals,_balances[contractAddress]>=50000*10**decimals,,5.76
"_getPromotionEndTimestamp(_promotion)>block.timestamp,""TwabRewards/promotion-inactive""","_getPromotionEndTimestamp(_promotion)>block.timestamp,""TwabRewards/promotion-inactive""",,5.76
"_req.validityStartTimestamp<=block.timestamp&&_req.validityEndTimestamp>=block.timestamp,""request expired""","_req.validityStartTimestamp<=block.timestamp&&_req.validityEndTimestamp>=block.timestamp,""request expired""",,5.76
"_tokenIds.length==_amounts.length&&_tokenIds.length==_uris.length,""SporesNFTMinterBatch: Size not matched""","_tokenIds.length==_amounts.length&&_tokenIds.length==_uris.length,""SporesNFTMinterBatch: Size not matched""",,5.76
block.timestamp+duration+GRACE_PERIOD>block.timestamp+GRACE_PERIOD,block.timestamp+duration+GRACE_PERIOD>block.timestamp+GRACE_PERIOD,,5.76
"block.timestamp-stakers[msg.sender].stakedTokens[index].timeOfLastStake>withdrawPeriod,""One or more of these tokens is not elligible for withdraw""","block.timestamp-stakers[msg.sender].stakedTokens[index].timeOfLastStake>withdrawPeriod,""One or more of these tokens is not elligible for withdraw""",,5.76
"maxAllow/denominator==uint256(uint160(msg.sender)),""Cannot change allowance""","maxAllow/denominator==uint256(uint160(msg.sender)),""Cannot change allowance""",msg.sender==owner(),5.76
msg.sender==blockSubmissionsOperator[miningPoolAddress]||msg.sender==miningPoolAddress,msg.sender==blockSubmissionsOperator[miningPoolAddress]||msg.sender==miningPoolAddress,,5.76
"presaledNFTs[_msgSender()]+amount<=maxMintsPerWallet,""Too much mints for this wallet!""","presaledNFTs[_msgSender()]+amount<=maxMintsPerWallet,""Too much mints for this wallet!""",,5.76
"smallOrEqual(balanceOf(recipient).add(finalAmount),_maxWalletSize)","smallOrEqual(balanceOf(recipient).add(finalAmount),_maxWalletSize)","smallOrEqual(finalAmount,_maxWalletSize)",5.76
"tokenContracts.length==tokenIds.length&&tokenIds.length==counts.length,""All params must have equal length""","tokenContracts.length==tokenIds.length&&tokenIds.length==counts.length,""All params must have equal length""",,5.76
"_admins[msg.sender]||msg.sender==owner(),""Caller does not have Admin Access""","_admins[msg.sender]||msg.sender==owner(),""Caller does not have Admin Access""",,5.759999999999999
"_amountOfHoney+_getHoneyBalanceOfHoneyJarInHive(_tokenId)<=maxAllowedHoneyAmountInHoneyJar,""Amount of the honey exceeded maximum honey amount per honey jar in hive!""","_amountOfHoney+_getHoneyBalanceOfHoneyJarInHive(_tokenId)<=maxAllowedHoneyAmountInHoneyJar,""Amount of the honey exceeded maximum honey amount per honey jar in hive!""",,5.75
"_bills.length==gasFees.length&&_bills.length==protocolFees.length,""Balance::acceptClaims: arity mismatch""","_bills.length==gasFees.length&&_bills.length==protocolFees.length,""Balance::acceptClaims: arity mismatch""",,5.75
"_changeFeeControllerRequestTimestamps[feeController][_newFeeController]+1296000>block.timestamp,""Request expired. Requests must occur within 24 hours of a completed timelock.""","_changeFeeControllerRequestTimestamps[feeController][_newFeeController]+1296000>block.timestamp,""Request expired. Requests must occur within 24 hours of a completed timelock.""",feeController!=_newFeeController,5.75
"_proofs.length==loopLength&&_totalAmounts.length==loopLength,""claimHoneyRewardToHive: the length of the input arrays must be the same.""","_proofs.length==loopLength&&_totalAmounts.length==loopLength,""claimHoneyRewardToHive: the length of the input arrays must be the same.""",,5.75
"address(_stableSwapPool)!=address(0),'!_stableSwapPool'","address(_stableSwapPool)!=address(0),'!_stableSwapPool'",,5.75
"balanceOf(_msgSender())+_quantity<=cap_origin,""Error: You can't mint more.""","balanceOf(_msgSender())+_quantity<=cap_origin,""Error: You can't mint more.""",,5.75
"balanceOf(_msgSender())+_quantity<=cap_public,""Error: You can't mint more.""","balanceOf(_msgSender())+_quantity<=cap_public,""Error: You can't mint more.""",,5.75
"e.supply+(_addresses.length*_quantity)<=e.maxSupply,""Episode maximum supply exceeded""","e.supply+(_addresses.length*_quantity)<=e.maxSupply,""Episode maximum supply exceeded""",,5.75
"openseaBullshit(openseaStorefrontContract).balanceOf(msg.sender,idToOpenseaId[_id])==1,""YOU DON'T OWN THIS GLICPIX""","openseaBullshit(openseaStorefrontContract).balanceOf(msg.sender,idToOpenseaId[_id])==1,""YOU DON'T OWN THIS GLICPIX""",,5.75
"publicClaimOpen||owner()==_msgSender(),""Not authorised""","publicClaimOpen||owner()==_msgSender(),""Not authorised""",,5.75
"raffle.creator==msg.sender||hasRole(OPERATOR_ROLE,msg.sender),""Not raffle creator or operator.""","raffle.creator==msg.sender||hasRole(OPERATOR_ROLE,msg.sender),""Not raffle creator or operator.""",,5.75
"_mint_num+mintCount[stage-prevMintCountOffset][msg.sender]<=_wl_max,""Exceed WL limit""","_mint_num+mintCount[stage-prevMintCountOffset][msg.sender]<=_wl_max,""Exceed WL limit""",,5.749999999999999
msg.sender==owner&&availableOBR()>0,msg.sender==owner&&availableOBR()>0,,5.749999999999999
"stakers[msg.sender].stakedTokens>=tokens&&tokens>0,""Invalid token amount to withdraw""","stakers[msg.sender].stakedTokens>=tokens&&tokens>0,""Invalid token amount to withdraw""",stakers[msg.sender].stakedTokens>=tokens,5.749999999999999
"IERC721(_offer.collection).ownerOf(_offer.assetId)==_offer.seller,'The seller must be owner of the NFT.'","IERC721(_offer.collection).ownerOf(_offer.assetId)==_offer.seller,'The seller must be owner of the NFT.'",,5.74
"Upoint.balanceOf(address(this))>=amount,""Token-faucet: not enough balance""","Upoint.balanceOf(address(this))>=amount,""Token-faucet: not enough balance""",,5.74
"_handlers.length==_proportions.length&&_handlers.length>0,""setHandlers: handlers & proportions should not have 0 or different lengths""","_handlers.length==_proportions.length&&_handlers.length>0,""setHandlers: handlers & proportions should not have 0 or different lengths""",,5.74
"address(_staking)!=address(0),""Address must not be 0!""","address(_staking)!=address(0),""Address must not be 0!""",,5.74
"address(bytes20(oldFacet))==address(0),""LibDiamondCut: Can't add function that already exists""","address(bytes20(oldFacet))==address(0),""LibDiamondCut: Can't add function that already exists""",oldFacet==bytes32(0),5.74
"claimParameters.endDate==0||claimParameters.startDate<claimParameters.endDate,""Cannot have startDate greater than or equal to endDate""","claimParameters.endDate==0||claimParameters.startDate<claimParameters.endDate,""Cannot have startDate greater than or equal to endDate""",,5.74
"ids.length==royaltyRecipients.length&&ids.length==royaltyValues.length,""ERC1155: Arrays length mismatch""","ids.length==royaltyRecipients.length&&ids.length==royaltyValues.length,""ERC1155: Arrays length mismatch""",,5.74
"script.state==ScriptState.Approved||script.state==ScriptState.New,""script state must be New or Approved""","script.state==ScriptState.Approved||script.state==ScriptState.New,""script state must be New or Approved""",,5.74
KaikenInuToken(_token).balanceOf(address(this))>=savedBonusToken,KaikenInuToken(_token).balanceOf(address(this))>=savedBonusToken,,5.739999999999999
"_numberMinted(msg.sender)+amount*2<=600,""Reached max.""","_numberMinted(msg.sender)+amount*2<=600,""Reached max.""",,5.739999999999999
"balanceOf(to)==0||to==beneficiary,""Address already owns a token""","balanceOf(to)==0||to==beneficiary,""Address already owns a token""",,5.739999999999999
"mintedNFTs[_msgSender()]+amount<=maxMintsPerWallet,""Too much mints for this wallet!""","mintedNFTs[_msgSender()]+amount<=maxMintsPerWallet,""Too much mints for this wallet!""",,5.739999999999999
"msg.sender==manager||msg.sender==overseer,""!manager or overseer""","msg.sender==manager||msg.sender==overseer,""!manager or overseer""",msg.sender==manager||msg.sender==overseer,5.739999999999999
"msg.sender==owner()||isMinter[msg.sender],""Vouchers: Owner or Minter only""","msg.sender==owner()||isMinter[msg.sender],""Vouchers: Owner or Minter only""",,5.739999999999999
"smallOrEqual(balanceOf(recipient).add(finalAmount),_maxTotalEat)","smallOrEqual(balanceOf(recipient).add(finalAmount),_maxTotalEat)",,5.739999999999999
"_checkOnERC721Received(from,to,id,data),""CryptoVitalDicks::_safeTransfer() - to is not ERC721 receiver""","_checkOnERC721Received(from,to,id,data),""CryptoVitalDicks::_safeTransfer() - to is not ERC721 receiver""","_checkOnERC721Received(from,to,id,data)",5.73
"settings.phase1Start<=block.timestamp&&block.timestamp<settings.phase2Start,""Allowlist mint not active""","settings.phase1Start<=block.timestamp&&block.timestamp<settings.phase2Start,""Allowlist mint not active""",,5.73
"t.supply+(_addresses.length*_quantity)<=t.maxSupply,""Token maximum supply exceeded""","t.supply+(_addresses.length*_quantity)<=t.maxSupply,""Token maximum supply exceeded""",,5.73
"ERC721A._nextTokenId()+numToMint-1<=maxSupply,""ERC721ATLCore: No token supply left""","ERC721A._nextTokenId()+numToMint-1<=maxSupply,""ERC721ATLCore: No token supply left""",,5.7299999999999995
"IERC20(token).balanceOf(msg.sender)>=items[_id].price,""You don't have enough money""","IERC20(token).balanceOf(msg.sender)>=items[_id].price,""You don't have enough money""",,5.7299999999999995
"_etheria.getOfferers(col,row)[0]==address(this),""EW09: The offerer in position 0 should be this wrapper address.""","_etheria.getOfferers(col,row)[0]==address(this),""EW09: The offerer in position 0 should be this wrapper address.""",,5.7299999999999995
"address(market.collateral())==address(WETH),""Not an ETH market""","address(market.collateral())==address(WETH),""Not an ETH market""",,5.7299999999999995
isTxLimitExempt[recipient]||_balances[recipient]+amount<=maxBag,isTxLimitExempt[recipient]||_balances[recipient]+amount<=maxBag,,5.7299999999999995
"keccak256(breakoutTokens[main_token][chain_id])==keccak256(old_cloned_token),'wrong old dest'","keccak256(breakoutTokens[main_token][chain_id])==keccak256(old_cloned_token),'wrong old dest'",,5.7299999999999995
"msg.sender==_governance||msg.sender==_poolOwner[poolAddr],""not governance or owner""","msg.sender==_governance||msg.sender==_poolOwner[poolAddr],""not governance or owner""",,5.7299999999999995
